"time","avgResponseTime","level","memory","response","cpu","gpu","responsetime"
1625745142,769.897684146265,1,238.589983297561,769.897684146265,238.589983297561,238.589983297561,238.589983297561
1625745147,502.86563256658,1,907.114602724837,502.86563256658,907.114602724837,907.114602724837,907.114602724837
1625745152,240.086946909097,1,991.09962855893,240.086946909097,991.09962855893,991.09962855893,991.09962855893
1625745156,201.539935491837,1,892.839081961941,201.539935491837,892.839081961941,892.839081961941,892.839081961941
1625745161,221.942723365683,1,503.373794979785,221.942723365683,503.373794979785,503.373794979785,503.373794979785
1625745166,892.792027254017,1,390.457460911309,892.792027254017,390.457460911309,390.457460911309,390.457460911309
1625745171,979.396195848487,1,30.0775251879146,979.396195848487,30.0775251879146,30.0775251879146,30.0775251879146
1625745176,949.398806298075,1,133.079902173698,949.398806298075,133.079902173698,133.079902173698,133.079902173698
1625745181,776.551811778017,1,377.535219357373,776.551811778017,377.535219357373,377.535219357373,377.535219357373
1625745186,"None",1,291.322095980864,"None",291.322095980864,291.322095980864,291.322095980864
1625745191,"None",1,313.798648243867,"None",313.798648243867,313.798648243867,313.798648243867
1625745196,"None",1,459.422068659007,"None",459.422068659007,459.422068659007,459.422068659007
1625745201,903.725981443502,1,135.169129734019,903.725981443502,135.169129734019,135.169129734019,135.169129734019
1625745206,970.332232534328,1,827.075198296138,970.332232534328,827.075198296138,827.075198296138,827.075198296138
1625745210,742.908660295528,1,605.095224931165,742.908660295528,605.095224931165,605.095224931165,605.095224931165
1625745215,408.003317114093,1,547.684985561223,408.003317114093,547.684985561223,547.684985561223,547.684985561223
1625745220,319.477577642359,1,361.785901624325,319.477577642359,361.785901624325,361.785901624325,361.785901624325
1625745226,433.100998361756,1,216.87887756672,433.100998361756,216.87887756672,216.87887756672,216.87887756672
1625745231,939.277222639409,1,581.008938354683,939.277222639409,581.008938354683,581.008938354683,581.008938354683
1625745236,252.463304664849,1,327.26225231093,252.463304664849,327.26225231093,327.26225231093,327.26225231093
1625745241,765.647633203314,1,346.294574697268,765.647633203314,346.294574697268,346.294574697268,346.294574697268
1625745246,846.89518290539,1,233.910867639111,846.89518290539,233.910867639111,233.910867639111,233.910867639111
1625745251,583.872963810543,1,856.804113034052,583.872963810543,856.804113034052,856.804113034052,856.804113034052
1625745256,654.160798578122,1,966.253286207839,654.160798578122,966.253286207839,966.253286207839,966.253286207839
1625745261,888.234555014757,1,481.932547889628,888.234555014757,481.932547889628,481.932547889628,481.932547889628
1625745266,336.857018915533,1,554.501076816514,336.857018915533,554.501076816514,554.501076816514,554.501076816514
1625745271,270.262501934662,1,805.766048156069,270.262501934662,805.766048156069,805.766048156069,805.766048156069
1625745276,88.3498296087765,1,788.103474853237,88.3498296087765,788.103474853237,788.103474853237,788.103474853237
1625745281,339.438951767493,1,234.771236377873,339.438951767493,234.771236377873,234.771236377873,234.771236377873
1625745286,265.776179772191,1,955.648688788511,265.776179772191,955.648688788511,955.648688788511,955.648688788511
1625745292,365.891965541051,1,879.68526317464,365.891965541051,879.68526317464,879.68526317464,879.68526317464
1625745297,972.062761161831,1,799.155716253818,972.062761161831,799.155716253818,799.155716253818,799.155716253818
1625745301,647.947170525882,1,6.76302724782207,647.947170525882,6.76302724782207,6.76302724782207,6.76302724782207
1625745306,727.473059746859,1,772.866575902234,727.473059746859,772.866575902234,772.866575902234,772.866575902234
1625745311,565.812376412597,1,701.700197113926,565.812376412597,701.700197113926,701.700197113926,701.700197113926
1625745316,529.461337971728,1,552.655855713909,529.461337971728,552.655855713909,552.655855713909,552.655855713909
1625745321,66.8236169682769,1,647.200252848997,66.8236169682769,647.200252848997,647.200252848997,647.200252848997
1625745326,367.316023710358,1,375.341490503248,367.316023710358,375.341490503248,375.341490503248,375.341490503248
1625745331,258.867602484782,1,305.919535969374,258.867602484782,305.919535969374,305.919535969374,305.919535969374
1625745336,870.567517436795,1,178.953716176324,870.567517436795,178.953716176324,178.953716176324,178.953716176324
1625745341,78.729800672394,1,876.165808805605,78.729800672394,876.165808805605,876.165808805605,876.165808805605
1625745346,978.389793262027,1,99.9691719630301,978.389793262027,99.9691719630301,99.9691719630301,99.9691719630301
1625745351,3.73918570687004,1,278.125993050521,3.73918570687004,278.125993050521,278.125993050521,278.125993050521
1625745356,837.848137282763,1,799.337800461329,837.848137282763,799.337800461329,799.337800461329,799.337800461329
1625745362,231.352105668746,1,91.5643935513647,231.352105668746,91.5643935513647,91.5643935513647,91.5643935513647
1625745367,104.058039568377,1,426.643069227717,104.058039568377,426.643069227717,426.643069227717,426.643069227717
1625745372,46.0303778847905,1,837.998425042715,46.0303778847905,837.998425042715,837.998425042715,837.998425042715
1625745377,222.978495052783,1,84.8867403002049,222.978495052783,84.8867403002049,84.8867403002049,84.8867403002049
1625745382,500.334478046207,1,645.579675405922,500.334478046207,645.579675405922,645.579675405922,645.579675405922
1625745386,441.1405446484,1,174.246483676456,441.1405446484,174.246483676456,174.246483676456,174.246483676456
1625745391,472.611748440578,1,95.6700638146064,472.611748440578,95.6700638146064,95.6700638146064,95.6700638146064
1625745396,285.212481343464,1,421.915653379415,285.212481343464,421.915653379415,421.915653379415,421.915653379415
1625745401,432.676323150748,1,696.911366034394,432.676323150748,696.911366034394,696.911366034394,696.911366034394
1625745406,182.651066701648,1,150.117872755846,182.651066701648,150.117872755846,150.117872755846,150.117872755846
1625745411,295.739081161058,1,814.074682133284,295.739081161058,814.074682133284,814.074682133284,814.074682133284
1625745416,113.137160326292,1,2.0413865535861,113.137160326292,2.0413865535861,2.0413865535861,2.0413865535861
1625745421,910.469676452856,1,171.903991878929,910.469676452856,171.903991878929,171.903991878929,171.903991878929
1625745426,565.019311378652,1,995.329177265268,565.019311378652,995.329177265268,995.329177265268,995.329177265268
1625745431,486.993709083441,1,13.4148773943465,486.993709083441,13.4148773943465,13.4148773943465,13.4148773943465
1625745437,263.192366480589,1,167.585308305018,263.192366480589,167.585308305018,167.585308305018,167.585308305018
1625745442,493.01422735465,1,200.686197229159,493.01422735465,200.686197229159,200.686197229159,200.686197229159
1625745447,791.946502333104,1,933.937910550571,791.946502333104,933.937910550571,933.937910550571,933.937910550571
1625745452,739.884397956909,1,665.219467194752,739.884397956909,665.219467194752,665.219467194752,665.219467194752
1625745457,281.186798391699,1,511.978191005569,281.186798391699,511.978191005569,511.978191005569,511.978191005569
1625745462,944.762275727337,1,633.698485425228,944.762275727337,633.698485425228,633.698485425228,633.698485425228
1625745467,195.520808715837,1,756.443349662561,195.520808715837,756.443349662561,756.443349662561,756.443349662561
1625745472,529.988960372459,1,540.839782136107,529.988960372459,540.839782136107,540.839782136107,540.839782136107
1625745477,167.143965848848,1,560.026796817816,167.143965848848,560.026796817816,560.026796817816,560.026796817816
1625745482,737.210541196723,1,889.493744199318,737.210541196723,889.493744199318,889.493744199318,889.493744199318
